num_hidden_unit, activation_fn, learning_rate, lr_smoother, batch_size, label_index, loss, accuracy, mean_f1, positive_f1
100, relu, 0.001, 1.0e-6, 30, 3, 4346.727468422139, 0.6468842729970327, 0.6230940732347889, 0.5284015852047557
100, relu, 0.001, 1.0e-6, 30, 3, 4181.648213172239, 0.6498516320474778, 0.6256620840271443, 0.5305039787798408
100, relu, 0.001, 1.0e-6, 30, 3, 4138.224268291235, 0.6518298714144412, 0.6273747696431564, 0.5319148936170213
100, relu, 0.001, 1.0e-6, 30, 3, 4108.647803124457, 0.6528189910979229, 0.6278242684406651, 0.5313751668891856
100, relu, 0.001, 1.0e-6, 30, 3, 4081.2089309100047, 0.6607319485657764, 0.6338368292953344, 0.5345997286295794
100, relu, 0.001, 1.0e-6, 30, 3, 4049.1960493354754, 0.6795252225519288, 0.6465034965034965, 0.5384615384615384
100, relu, 0.001, 1.0e-6, 30, 3, 4008.5824012347143, 0.6894164193867458, 0.6434511294409402, 0.5154320987654321
100, relu, 0.001, 1.0e-6, 30, 3, 3961.1867920112486, 0.705242334322453, 0.6375175659807111, 0.4808362369337979
100, relu, 0.001, 1.0e-6, 30, 3, 3912.689080347805, 0.7210682492581603, 0.6358850574712644, 0.45977011494252873
100, relu, 0.001, 1.0e-6, 30, 3, 3867.996086133792, 0.7260138476755688, 0.6243223846159005, 0.4288659793814433
100, relu, 0.001, 1.0e-6, 30, 3, 3826.901677738868, 0.7279920870425322, 0.6171430145210932, 0.41113490364025695
100, relu, 0.001, 1.0e-6, 30, 3, 3788.5008429477684, 0.7359050445103857, 0.6165803771172899, 0.40268456375838924
100, relu, 0.001, 1.0e-6, 30, 3, 3752.2326830151474, 0.7359050445103857, 0.6063457295313983, 0.3805104408352668
100, relu, 0.001, 1.0e-6, 30, 3, 3717.576185559077, 0.7408506429277942, 0.6076984597156398, 0.37914691943127965
100, relu, 0.001, 1.0e-6, 30, 3, 3684.453534197749, 0.7418397626112759, 0.6071342962256032, 0.37708830548926026
100, relu, 0.001, 1.0e-6, 30, 3, 3652.9783071614893, 0.7428288822947576, 0.6051445670199725, 0.3719806763285024
100, relu, 0.001, 1.0e-6, 30, 3, 3623.097301070148, 0.7467853610286844, 0.6084004115475398, 0.3756097560975609
100, relu, 0.001, 1.0e-6, 30, 3, 3594.762093788054, 0.7457962413452027, 0.604708620807692, 0.36855036855036855
100, relu, 0.001, 1.0e-6, 30, 3, 3567.8827078586496, 0.7467853610286844, 0.6055211432473298, 0.3694581280788178
100, relu, 0.001, 1.0e-6, 30, 3, 3542.4402768750924, 0.7467853610286844, 0.6040583044707437, 0.36633663366336633
100, relu, 0.001, 1.0e-6, 30, 2, 2537.502911632533, 0.5746785361028685, 0.5133110922036631, 0.34049079754601225
100, relu, 0.001, 1.0e-6, 30, 2, 2487.804317341445, 0.5954500494559841, 0.5272487180806367, 0.34768740031897927
100, relu, 0.001, 1.0e-6, 30, 2, 2457.24067284099, 0.6013847675568744, 0.5316975107497406, 0.3510466988727858
100, relu, 0.001, 1.0e-6, 30, 2, 2432.8482070035607, 0.6221562809099901, 0.5490780784427278, 0.3675496688741722
100, relu, 0.001, 1.0e-6, 30, 2, 2410.4861936891557, 0.6310583580613254, 0.5541047224793992, 0.36886632825719123
100, relu, 0.001, 1.0e-6, 30, 2, 2389.490233938209, 0.6379821958456974, 0.5593837521672034, 0.3732876712328767
100, relu, 0.001, 1.0e-6, 30, 2, 2369.5987295018517, 0.6399604352126608, 0.5599933043187145, 0.3724137931034483
100, relu, 0.001, 1.0e-6, 30, 2, 2350.4172046806543, 0.645895153313551, 0.5636146612008681, 0.37412587412587417
100, relu, 0.001, 1.0e-6, 30, 2, 2331.2710584229094, 0.6508407517309595, 0.5674066801214567, 0.3774250440917108
100, relu, 0.001, 1.0e-6, 30, 2, 2311.9378084322016, 0.6597428288822947, 0.5752100840336134, 0.38571428571428573
100, relu, 0.001, 1.0e-6, 30, 2, 2293.3491130024336, 0.6627101879327398, 0.5765692072440538, 0.3855855855855856
100, relu, 0.001, 1.0e-6, 30, 2, 2275.413965064621, 0.6676557863501483, 0.5794550802721627, 0.38686131386861317
100, relu, 0.001, 1.0e-6, 30, 2, 2258.124884201178, 0.66864490603363, 0.5802249558454435, 0.38756855575868376
100, relu, 0.001, 1.0e-6, 30, 2, 2241.4072718253174, 0.6716122650840751, 0.5825390034227493, 0.3897058823529411
100, relu, 0.001, 1.0e-6, 30, 2, 2225.2355134409668, 0.6745796241345203, 0.5867907300317405, 0.3963302752293578
100, relu, 0.001, 1.0e-6, 30, 2, 2209.6040006026974, 0.675568743818002, 0.5866061633589308, 0.3948339483394833
100, relu, 0.001, 1.0e-6, 30, 2, 2194.486015848016, 0.6775469831849654, 0.589126857484791, 0.39852398523985244
100, relu, 0.001, 1.0e-6, 30, 2, 2179.8595732225767, 0.6775469831849654, 0.5881616434248013, 0.3962962962962963
100, relu, 0.001, 1.0e-6, 30, 2, 2165.681962564253, 0.6795252225519288, 0.589720337879137, 0.39776951672862454
100, relu, 0.001, 1.0e-6, 30, 2, 2151.9461433762967, 0.6795252225519288, 0.589720337879137, 0.39776951672862454
